,repo_id,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,repo_git,repo_name,message_count
0,25481,7.163118696690621e-07,0.003553585790588765,0.0004032006974488569,7.163118712692962e-07,0.5543613312366424,7.163118657914368e-07,7.16311870028628e-07,0.10992805943019333,7.163118641328725e-07,7.163118707954941e-07,7.163118717377769e-07,7.16311867947966e-07,0.30737134614183154,7.163118711934298e-07,7.163118671835074e-07,0.00795345563934231,0.0023060204775707882,0.006685036329526454,7.163118714893536e-07,0.0074300848262942865,https://github.com/quay/clair,clair,3635
1,25482,5.7537400251515086e-05,5.753740014168399e-05,5.7537400232520074e-05,5.753740053941792e-05,0.6557619384327211,5.753740013287037e-05,5.75373997307375e-05,0.11065877424927298,5.753739957187823e-05,5.753740023566866e-05,5.753739967831707e-05,5.7537400210882475e-05,0.23260115151626948,5.753740032728468e-05,5.753740019900508e-05,5.753739990232999e-05,5.753740043090226e-05,5.753740004971064e-05,5.7537400186696825e-05,5.7537399914956695e-05,https://github.com/quay/quayctl,quayctl,117
2,25483,0.00015290520313602138,0.00015290520120396197,0.00015290520044214444,0.00015290520009347567,0.45877979818652004,0.00015290520027332773,0.00015290519992577065,0.32151617543119676,0.0001529052006835179,0.00015290520208019798,0.00015290520013521412,0.00015290520283744362,0.2171046379651474,0.00015290520090226127,0.0001529052011510234,0.0001529052000769918,0.0001529052018137044,0.00015290520173578061,0.00015290520038667104,0.00015290520025833628,https://github.com/quay/jwtproxy,jwtproxy,121
3,25485,0.07302514197042465,0.008362542801925256,4.649000576656081e-06,4.6490005533254755e-06,0.5656146661998388,0.022182274120706984,4.649000559438761e-06,0.14734830076606173,4.6490005244359e-06,0.02556406159083097,4.6490005719119524e-06,0.00806825112416946,0.03862592752196533,4.64900057079886e-06,4.649000574529785e-06,0.016977823872259653,0.016521831172345552,0.0007824803342909294,0.07214579290114068,0.004748362620109021,https://github.com/quay/quay-operator,quay-operator,706
4,25488,3.634249243380879e-06,3.634249217039638e-06,3.634249227937514e-06,3.634249235781308e-06,0.5283300033854186,3.634249232042283e-06,0.006925586902305278,0.027365225989989302,3.6342492041176936e-06,3.6342492482586896e-06,0.004056137180139864,3.6342492346450257e-06,0.3916124394281417,3.634249243687047e-06,3.634249223097639e-06,0.03344630884036956,0.006338071876525846,0.0007396220761264437,0.0011466275794235706,3.634249249997674e-06,https://github.com/quay/claircore,claircore,786
5,25491,0.04913558754103619,3.5919540946700946e-05,3.591954090052723e-05,3.59195408018204e-05,0.7237740274490502,0.017893608712858836,3.59195406253153e-05,0.04105923896880014,3.591954082571087e-05,3.591954115984399e-05,3.591954085277602e-05,3.591954106789408e-05,0.07592521398754967,3.591954121348138e-05,0.0038683297117641856,0.0025213678332317345,3.591954112605096e-05,3.591954097065223e-05,0.07675488652799665,0.008672624317221905,https://github.com/quay/quay-docs,quay-docs,152
6,25493,3.0959753090434174e-06,3.095975299727026e-06,3.0959752753515643e-06,3.0959753063502524e-06,0.5879231196091383,3.0959752977534826e-06,3.095975293387283e-06,3.095975300593485e-06,3.095975286148078e-06,3.0959753079236394e-06,3.0959753040436627e-06,0.013863744030157549,0.07245194659363549,3.095975306223883e-06,3.095975308771165e-06,0.05373299860988945,0.0014779189437600436,0.0023902804923519186,0.26811974404216266,3.0959753092816357e-06,https://github.com/quay/quay,quay,1817
7,25514,1.0595465320163075e-05,1.0595465289450426e-05,1.0595465296628986e-05,1.059546528739036e-05,0.45784020014520677,1.0595465282485664e-05,1.0595465231580876e-05,0.24599389360913215,1.0595465243179127e-05,0.026912448997492067,1.0595465267956115e-05,1.0595465302529104e-05,0.09791323979449021,0.032356667917848005,1.0595465293858287e-05,0.0027698738458778074,1.0595465464789761e-05,1.0595465287964078e-05,0.13607593464105966,1.059546532539652e-05,https://github.com/quay/mirror-registry,mirror-registry,194
8,25524,4.019292640766752e-05,4.0192926912859276e-05,4.019292666999316e-05,4.01929270022309e-05,0.3224571809069122,0.008754172984388473,4.019292738040242e-05,4.0192926678711126e-05,4.0192926580204515e-05,4.019292674998113e-05,4.019292684844248e-05,4.019292700562366e-05,0.5690044624474613,4.019292689996125e-05,4.019292688221723e-05,4.0192926692064214e-05,0.006386875981050043,4.0192926926304346e-05,0.0927944137775422,4.0192927009144195e-05,https://github.com/quay/quay-ui,quay-ui,104
9,25531,4.06041913897564e-06,4.060419114300948e-06,4.060419090456948e-06,4.0604190924934995e-06,0.11922147589973728,0.028251414340034503,4.060419104333871e-06,0.010994002230161516,4.0604191093236605e-06,4.0604191211460475e-06,4.060419105881468e-06,0.006243886157088625,0.757817569296405,4.06041911760193e-06,4.060419123725321e-06,0.0774148062089917,4.060419135105079e-06,4.060419087809605e-06,4.060419114228245e-06,4.06041912605677e-06,https://github.com/chaoss/grimoirelab-sortinghat,grimoirelab-sortinghat,930
10,25532,1.3265062626199824e-06,1.3265062742607305e-06,1.3265062686243118e-06,1.3265062715018078e-06,4.0305995777723734e-05,1.326506268379927e-06,1.3265062740478277e-06,0.008774916058111577,1.3265062702407664e-06,1.3265062703652154e-06,1.3265062678341226e-06,0.042330984831020525,0.7000135049703122,1.3265062814518797e-06,1.326506276514302e-06,0.24826413791565696,0.000557579141325903,1.3265062682043378e-06,1.3265062709229851e-06,1.3265062701677036e-06,https://github.com/chaoss/grimoirelab-elk,grimoirelab-elk,2049
