,repo_id,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,repo_git,repo_name,message_count
0,25481,7.163118693812833e-07,7.163118636695246e-07,0.003459147624239051,7.163118709087276e-07,7.1631186842155e-07,0.0011009808993849176,0.007132251176275332,0.005106802856165787,7.1631186870469e-07,7.163118683851775e-07,0.024046405415871133,7.163118699441243e-07,0.0068045773178442405,0.015394718036186906,7.163118688234009e-07,0.001802496030839021,0.355318437540892,7.163118675849442e-07,0.5675541814381952,0.01227355485729064,https://github.com/quay/clair,clair,3635
1,25482,5.7537400031379124e-05,5.7537399753240914e-05,5.7537400349609104e-05,5.7537400497732385e-05,5.753740031001344e-05,5.753740023769342e-05,5.753740047327573e-05,5.753740000927034e-05,5.753739998297099e-05,5.753739972301498e-05,0.09861599688869215,5.753740068942724e-05,5.753740047611074e-05,5.753740000938835e-05,5.753740000966568e-05,5.7537399962914345e-05,0.3837944282749687,5.7537400409769545e-05,0.5166114390335467,5.753739986705698e-05,https://github.com/quay/quayctl,quayctl,117
2,25483,0.00015290520028884337,0.00015290520087493336,0.00015290520181210986,0.0702311436509637,0.00015290520071673726,0.0001529052006406812,0.00015290520107524535,0.00015290520083213288,0.00015290520008692012,0.00015290520004541204,0.03854041957631763,0.00015290520169015332,0.0001529052013151316,0.00015290520093439402,0.0001529052019901914,0.00015290520168316258,0.4462160526039133,0.0001529052010076224,0.4425659009536107,0.00015290520020099996,https://github.com/quay/jwtproxy,jwtproxy,121
3,25485,0.08632120928634723,4.649000534840184e-06,0.02510582830840472,0.14710379703887974,4.649000558965266e-06,4.649000593828333e-06,0.03366048377893032,0.01064812426415469,4.649000555570597e-06,4.649000575034006e-06,0.11660234578818418,4.649000570064632e-06,0.016089538771843652,0.03782925527956096,0.04790453048215049,4.6490005792670495e-06,0.228572064108182,4.649000549994662e-06,0.23214759673468788,0.01797803415415661,https://github.com/quay/quay-operator,quay-operator,706
4,25488,3.6342492629674633e-06,3.634249246268479e-06,0.008555123202648167,3.634249239605185e-06,3.6342492461347456e-06,3.634249241561842e-06,0.009345879709564462,3.6342492553665598e-06,0.006066065060749632,3.6342492383005586e-06,3.6342492456183333e-06,3.634249227228288e-06,3.6342492267833165e-06,0.015812688821799106,3.6342492444607857e-06,3.6342492546699726e-06,0.22528460573323167,3.634249237567291e-06,0.6931986778359229,0.041689714395917496,https://github.com/quay/claircore,claircore,786
5,25491,3.5919541156214024e-05,3.5919540623844865e-05,3.5919541105305995e-05,0.16521042760941526,3.5919540855360043e-05,3.591954105254682e-05,0.04634966323314367,0.08817659654140506,3.5919540644698674e-05,3.591954123329159e-05,0.14016156326648668,0.009121222993767377,3.591954087429571e-05,0.03575413283526052,0.06116430428370946,3.5919541024210105e-05,0.09882896606338407,3.5919540843272816e-05,0.35219500963706035,0.002678918126954517,https://github.com/quay/quay-docs,quay-docs,152
6,25493,3.0959753071256073e-06,3.095975294685775e-06,3.0959753113069313e-06,0.03238589168375848,0.10348082212468991,3.0959752873549474e-06,0.04786471072063971,0.002630379961144394,3.0959753124888573e-06,3.0959752914786676e-06,0.10669666542934665,3.0959752978938444e-06,3.095975297723258e-06,0.2439763679895302,3.0959752999171367e-06,3.095975309440042e-06,0.062346413011716575,3.095975302832707e-06,0.351470297796629,0.04911439555423269,https://github.com/quay/quay,quay,1817
7,25514,1.0595465400051113e-05,1.0595465316021628e-05,0.009410329799081234,1.0595465422242046e-05,1.0595465398060945e-05,1.059546533073101e-05,0.11235242308109673,1.0595465309034058e-05,1.0595465253179545e-05,1.0595465280464038e-05,1.0595465370604775e-05,1.0595465388919147e-05,1.059546534567336e-05,0.06459940129109515,1.0595465348642769e-05,1.0595465327632757e-05,0.6017615173265813,1.0595465337318989e-05,0.2071944408266118,0.004533551160705077,https://github.com/quay/mirror-registry,mirror-registry,194
8,25524,4.019292686971333e-05,4.019292676441309e-05,4.0192928464564926e-05,4.0192926973932785e-05,4.019292708343286e-05,4.019292688007897e-05,4.01929271550639e-05,4.019292689039213e-05,4.019292710487775e-05,4.019292678954451e-05,0.034324668646212086,4.019292698477962e-05,4.019292698426989e-05,0.10104642068267192,4.0192926569201055e-05,4.0192926968070774e-05,4.019292752271197e-05,0.04100731180905147,0.8229785120294603,4.019292659928115e-05,https://github.com/quay/quay-ui,quay-ui,104
9,25531,0.015552374399064527,4.060419105584872e-06,4.060419128540084e-06,0.006301429690421406,4.060419120216066e-06,4.0604190977795365e-06,4.060419124226109e-06,4.060419108073799e-06,4.060419119933428e-06,4.060419110581048e-06,0.030953004163377443,4.0604191318496835e-06,4.060419108925832e-06,4.060419105359677e-06,4.0604191210991295e-06,4.060419085264021e-06,0.05683685263959602,4.060419138209322e-06,0.8085452258609169,0.08175426737901814,https://github.com/chaoss/grimoirelab-sortinghat,grimoirelab-sortinghat,930
10,25532,1.3265062628269748e-06,1.326506261999465e-06,0.00032958354540256165,0.0002449651725423182,1.3265062708690522e-06,1.3265062719726336e-06,1.3265062845100568e-06,0.012576025880501341,1.3265062765662051e-06,1.3265062631409076e-06,1.3265062779969192e-06,1.3265062696838445e-06,1.3265062714450524e-06,1.3265062662986022e-06,1.3265062612770976e-06,1.326506262594586e-06,0.017102673061218692,0.05408975334978098,0.6796243993519306,0.23601535505712234,https://github.com/chaoss/grimoirelab-elk,grimoirelab-elk,2049
